""	"LU1"	"LU2"	"LU3"	"LU7"	"LU8"	"LU9"	"LU13"	"LU14"	"LU15"	"LU19"	"LU20"	"LU21"	"LU25"	"LU26"	"LU27"	"LU31"	"LU32"	"LU33"
"Mapk3"	320.706301	327.282523	320.3251015	312.2579372	313.2971027	304.7359191	357.4948649	354.3741828	324.1920182	300.1514907	298.0177197	312.3336698	273.9850307	296.6027613	285.1181823	302.3146484	278.0261435	304.809815
"Abhd2"	312.9776828	267.2247528	288.254171	343.7798899	310.2706718	293.5204123	289.8746365	310.8618771	318.3484346	278.1936258	294.8743025	269.3665995	249.7116069	269.375707	315.5715508	293.8478331	347.2981273	295.614335
"Lamp2"	393.2439608	361.0999095	365.7625135	337.6313859	381.5139787	349.7948691	384.8324001	334.4696238	375.2760691	389.257741	388.6009152	379.7796102	375.3723775	383.3931803	350.9184668	376.431967	381.8437702	375.2232746
"Rpl26"	344.2051612	333.3241739	325.9996674	296.8209839	345.9855618	322.2698564	363.3734415	333.8325423	336.781873	343.4153629	333.8433093	347.99731	333.9993888	347.727256	295.9149751	358.5277224	280.6458679	349.4490003
"AA986860"	49.48213324	46.63735027	61.02566635	46.97921693	55.63634196	75.32918489	78.8808491	62.89423967	70.58024103	109.1875554	103.2239475	110.4687149	59.41106474	79.35313517	67.75180532	86.71059919	73.60557605	76.54219773
"Cd34"	207.9501618	208.357024	171.0350683	215.5035747	215.5779529	208.9624973	213.2285364	201.8070832	233.7520304	181.2347493	194.0254798	178.4302279	173.0168297	150.7734132	159.5065216	174.9762293	177.1170422	175.2497612
"Tspan9"	226.7108604	252.3802476	299.4560061	234.1337895	207.2122679	209.8515749	227.9585273	234.8444845	233.9908858	260.0022844	261.5042109	239.7586171	260.5269484	243.0900578	280.1553557	271.0658161	271.8421736	256.0919225
"Gbp7"	96.18157131	65.77649213	76.58031688	64.58245951	78.48291697	64.21831372	88.52473762	64.69102762	75.49073729	67.81646885	67.09964781	65.54519171	60.1703652	53.21978104	73.45751122	73.07380304	86.31834109	91.72464579
"Mcam"	199.3059753	251.270139	237.923482	225.2928157	218.2024924	245.5258162	224.0752624	224.2872198	265.4484617	240.632802	289.3937322	277.8045371	237.6566013	234.6843488	252.4965613	219.3069629	202.3784449	204.8672503
"St13"	129.7293256	138.157363	155.1583812	105.6492871	104.597503	101.4802866	129.5716529	93.00239822	101.2263287	150.3244248	174.0429154	153.2278232	188.0971885	157.1753358	147.5174708	137.2759164	134.8929239	129.6478445
"Mpp5"	137.2027407	103.2445756	118.522371	63.11943671	116.8173368	113.090289	120.7195323	114.6080617	117.2333678	148.7272326	146.3097106	147.090466	138.6054117	128.8674773	152.3834002	119.2722608	126.6210651	128.9271305
"Eif4g1"	300.6913992	266.7636996	302.7396598	302.9758351	257.862263	303.0195052	263.5979715	301.385592	342.2221941	345.7977471	342.1622582	335.6563697	331.5254911	332.1667461	353.7238073	302.9159351	342.2843535	299.7630376
"Kitl"	275.5020913	272.5099184	239.0626517	209.9288549	263.1085589	272.9403441	272.3815805	258.610896	269.0424611	315.7481004	290.9227227	307.02878	267.0723356	288.5476996	301.9951633	259.4630318	276.7604694	273.2627107
"Loxl1"	113.1154957	145.7260528	127.7264587	144.6932716	110.5757754	108.8288254	90.65777873	95.6476189	99.60521353	60.35326394	57.93836188	50.84549102	84.35443049	77.65332494	85.26540615	108.1809919	105.696411	102.9399045
"Cryab"	221.9274385	233.1790778	236.6644587	128.1658744	197.9515119	176.710685	215.6222041	220.5004604	192.4988985	218.0124974	222.4035692	245.366166	231.687848	225.7081471	202.2415051	211.7149656	197.54458	202.9026373
"Myo5c"	139.1467557	141.3808984	146.1654375	122.7352353	130.2929419	155.5963903	121.6645684	115.7780632	143.4665231	172.8269153	162.5710564	146.1682532	161.7077948	165.8015042	190.992525	159.8470614	178.4292716	158.9586593
"Cfl1"	366.0441107	391.9712878	399.3624181	361.5386381	391.3191249	369.6015437	404.4952251	379.2355025	401.7542839	395.0419188	378.6947527	402.0346476	385.8421336	398.7921837	368.5210072	401.0648383	354.948196	399.3295261
"Tead1"	220.785023	179.5364051	201.5103773	125.6987292	184.8243611	194.2381233	165.5487109	201.973015	201.9668812	193.7519668	227.3449426	217.5487619	183.0136275	177.8715079	217.4403373	185.9204903	204.0283979	180.5041517
"Aox3"	179.9170845	188.5272616	202.9239782	231.5860353	227.896868	232.300786	227.4358616	232.1592948	212.8245686	216.1528691	202.1425462	214.2071331	194.131603	224.8858762	232.1799605	229.230603	232.4634547	222.0249885
"Specc1l"	227.6378802	212.7143282	209.7937201	249.5935926	223.2946001	255.5123421	218.2192876	263.7372223	248.0926647	210.8053795	206.3517002	217.1056046	199.9710087	211.2173877	228.2067033	197.7805385	239.4404437	204.1595862
"Stard9"	111.2107427	97.08973965	107.70754	112.8907739	113.2454025	163.0898592	89.89496933	145.7045445	173.8849226	135.0473946	138.9742267	113.0818575	114.819757	117.826694	170.4760443	105.42399	150.7359439	131.8924385
"Slc12a2"	205.8381927	190.0120958	174.9924788	154.0090137	167.6181804	156.2489005	166.4407741	147.0035368	152.5262801	190.7099648	191.7357912	189.8155329	192.3681302	208.5190618	211.0418391	191.0796263	208.9001384	184.6095521
"Rabac1"	284.2695169	286.1349667	289.1844369	240.4003509	274.4322085	272.7733171	303.1807165	289.255608	279.321932	305.3197901	284.4890647	308.9951357	286.4917658	311.6326946	266.4581976	304.7951065	256.2824309	325.4335053
"Itpkb"	249.8498188	239.1599797	281.673982	233.5257306	233.7042532	265.3428895	226.7966556	285.1212395	266.8108685	230.9297185	254.9686625	260.8296322	254.5601699	255.8349499	295.8438234	234.4692679	285.2927225	259.3905977
"Lcp1"	248.0143197	221.9731198	244.3378922	272.8946901	234.4868836	222.2947628	241.1240526	275.1538203	236.1523727	184.6802822	208.7907438	200.944599	201.6115519	209.6729431	219.400284	200.4887385	239.0356489	208.2904934
"Cyb5r3"	296.4287443	305.6539499	341.2513235	297.1986405	308.544543	273.4752205	318.2384328	330.0675842	256.2087876	313.8729517	311.205263	321.2005293	273.8872794	274.5875168	273.9075867	279.2102983	263.0503153	263.6092956
"Clec1a"	116.3900566	102.7943933	125.3265855	95.69628914	130.8968921	125.7381987	146.1352115	158.7980235	143.2593082	152.6997543	122.4230309	130.1960227	122.7524227	139.0835333	150.0751849	162.834215	163.4565997	191.6043334
"Arap3"	244.9535186	276.823739	302.1807162	244.2962441	248.2992536	282.8963241	243.2154217	278.8206727	283.6808893	331.427956	321.4405128	309.6227356	293.1270052	274.6108523	331.4809631	277.5859808	293.7397555	300.3093566
"Kmt2d"	166.034691	137.7679298	148.8352614	182.7121879	144.4253776	213.3162482	118.2135621	183.8706944	210.3745939	184.3014429	185.7539955	173.8333994	160.6670891	170.7124083	209.1446182	152.5695646	196.7657643	173.9738305
"Afap1l1"	296.4320161	302.4937214	332.6857085	304.3988707	291.3272296	302.7900868	303.0366302	330.4067151	341.4349017	370.6473482	359.2722696	358.4764945	297.2829163	324.0662415	332.3366552	348.5119011	327.090741	344.0255534
"Slc6a2"	71.84893868	72.57462835	84.20334458	80.81788685	47.26787376	55.37108107	98.41159506	76.42011052	66.05439513	120.8102325	125.7803548	112.631273	101.3236603	101.4267185	121.9660756	101.890979	106.4570779	99.3796367
"Vcl"	255.5264515	212.2922823	257.9765646	207.8793536	232.1673807	233.8150776	204.0882434	229.5970401	235.1963305	220.6255716	245.5776482	248.3797594	216.4845595	233.1921021	282.3161185	232.6485382	283.7098408	240.4841642
"Vamp8"	226.4665634	223.2104817	244.6644093	180.5465334	236.4757447	217.6433528	255.9303243	251.6895986	238.9553572	263.5903229	247.0661357	260.7974476	236.2619174	245.2694749	220.5326248	250.8474011	204.8498235	259.723965
"Fermt2"	283.2176222	295.9117238	339.999581	253.0927877	271.3323017	272.235841	247.5591974	257.3536895	258.5284775	277.9340116	273.0469502	278.7397475	293.9159273	272.2201872	306.9196055	303.7907529	310.122502	312.6830962
"Cdc42ep4"	107.9967107	119.6116433	121.2257987	139.205508	106.8507662	131.3898211	150.3589155	131.8056297	136.1395539	177.7059705	158.2739349	173.8841521	127.3595696	150.6014671	124.8612918	160.2657931	110.7464821	116.4786501
"Ifitm3"	238.2053601	271.1670451	263.4758306	253.5434368	223.1971888	205.5914111	280.6100338	234.0172474	223.9074625	241.3030019	242.5221986	235.8890369	239.1954436	242.5619375	241.1024693	281.3702309	226.313415	272.9459524
"C7"	225.868363	237.2889096	219.2363949	229.9135558	187.7194258	213.9167656	200.5101022	182.9405069	200.9215008	220.1529043	173.7505339	215.8281233	168.9636068	192.8566124	205.7607025	188.2605679	225.1897741	186.0658096
"Gpx4"	305.649319	310.0975816	295.6022074	282.6852005	292.4154533	286.4838305	320.4830701	315.2306092	309.2620002	301.7832511	284.0321396	291.7899871	301.2625789	308.1317488	255.5607627	305.1084022	239.4617486	316.0209214
"Cdkn1a"	68.79250002	70.1785587	68.91584446	62.17053473	42.77748977	41.62677226	39.80028695	38.36417812	37.13427088	69.10113622	57.45295802	50.34415386	60.17925168	62.79103909	58.94959892	103.2309204	64.11223137	81.59431377
"Adgrl4"	176.9228107	167.7594063	189.4342827	194.8943122	196.409073	172.0098819	210.2316843	203.8715422	193.659674	242.5770872	220.9631791	225.4742216	204.1209955	201.3077643	224.5021372	204.4718109	219.5273819	203.6702126
"Abca8a"	127.7667702	115.8074751	106.5465278	118.725093	114.9130845	133.7970898	144.0240659	136.0284144	138.1961926	178.667531	161.0154858	147.7960517	152.6465459	154.6772043	138.0566437	133.9555849	155.7078968	131.3769648
